param,runTime
100,4283
100,4638
100,3992
100,2833
100,3281
100,3417
100,2594
100,2206
100,2416
100,3252
500,14503
500,13395
500,17667
500,16107
500,13992
500,15043
500,12733
500,12655
500,14897
500,15128
1000,30180
1000,30245
1000,28758
1000,25779
1000,29614
1000,26934
1000,27188
1000,30357
1000,28226
1000,26833
2000,51335
2000,55978
2000,56568
2000,54216
2000,56982
2000,53113
2000,51871
2000,61836
2000,59832
2000,54532
5000,142769
5000,148058
5000,120645
5000,121562
5000,150899
5000,139036
5000,121822
5000,139234
5000,130637
5000,143558
10000,261980
10000,359458
10000,334347
10000,371261
10000,306960
10000,327244
10000,277924
10000,326323
10000,320675
10000,385296
