param,runTime
100,141
100,140
100,138
100,138
100,140
100,141
100,136
100,135
100,136
100,62
500,287
500,284
500,296
500,293
500,290
500,296
500,292
500,291
500,297
500,661
1000,695
1000,584
1000,577
1000,568
1000,683
1000,577
1000,587
1000,581
1000,568
1000,559
2000,1126
2000,1762
2000,1688
2000,1236
2000,1161
2000,1319
2000,1135
2000,1176
2000,1368
2000,1711
5000,2863
5000,2936
5000,2915
5000,3444
5000,3114
5000,2821
5000,3531
5000,3989
5000,3221
5000,2854
10000,6375
10000,6322
10000,5730
10000,5796
10000,5768
10000,5710
10000,5593
10000,5706
10000,5901
10000,5770
