param,runTime
100,8224
100,5593
100,7303
100,5767
100,7421
100,6919
100,6887
100,6604
100,4955
100,6517
500,25505
500,27680
500,25478
500,25369
500,27009
500,25219
500,25534
500,26561
500,24289
500,27168
1000,50789
1000,50959
1000,50441
1000,50540
1000,48745
1000,48961
1000,49071
1000,49907
1000,49307
1000,53624
2000,98571
2000,93326
2000,97152
2000,129047
2000,96189
2000,96673
2000,96444
2000,97571
2000,97114
2000,96428
5000,232818
5000,226988
5000,227256
5000,227238
5000,228032
5000,231174
5000,233103
5000,230429
5000,233191
5000,228973
