param,runTime
100,1420
100,1437
100,1791
100,1607
100,1430
100,1657
100,1523
100,1343
100,963
100,796
500,3610
500,3369
500,4060
500,3742
500,3863
500,3485
500,4048
500,4863
500,3641
500,3750
1000,8161
1000,14384
1000,7105
1000,7528
1000,6728
1000,14134
1000,13447
1000,7717
1000,6547
1000,14311
2000,14656
2000,31979
2000,14618
2000,14049
2000,14858
2000,29263
2000,14407
2000,30758
2000,21893
2000,14129
5000,60165
5000,36722
5000,35269
5000,36513
5000,35791
5000,39200
5000,61851
5000,50049
5000,33276
5000,35310
10000,96815
10000,71968
10000,96940
10000,100694
10000,95737
10000,72026
10000,77280
10000,97699
10000,79655
10000,102345
