param,runTime
100,4229
100,4921
100,2683
100,3703
100,3941
100,3904
100,4182
100,2333
100,2329
100,2559
500,12699
500,13123
500,14258
500,18603
500,13648
500,13310
500,13029
500,12790
500,13111
500,12637
1000,27206
1000,28982
1000,25093
1000,27067
1000,30250
1000,26521
1000,26420
1000,26986
1000,26503
1000,25256
2000,57220
2000,51546
2000,51140
2000,54561
2000,50937
2000,51847
2000,52423
2000,52938
2000,53971
2000,51734
5000,126617
5000,140373
5000,130159
5000,128270
5000,136288
5000,125974
5000,127852
5000,127612
5000,130971
5000,130421
10000,256307
10000,260722
10000,261983
10000,274074
10000,259494
10000,262479
10000,266351
10000,264637
10000,266165
10000,275981
