param,runTime
100,187
100,363
100,352
100,358
100,193
100,357
100,347
100,351
100,357
100,359
500,1820
500,984
500,1759
500,873
500,1004
500,928
500,1396
500,1082
500,2176
500,1729
1000,2100
1000,2182
1000,3195
1000,3533
1000,1940
1000,2440
1000,1919
1000,2947
1000,2137
1000,2615
2000,5760
2000,4159
2000,4822
2000,4394
2000,8155
2000,7914
2000,5268
2000,5492
2000,4054
2000,4479
5000,12036
5000,11303
5000,11623
5000,11259
5000,11611
5000,12370
5000,11570
5000,12019
5000,11356
5000,19745
10000,23193
10000,23551
10000,39504
10000,23599
10000,40177
10000,45158
10000,39399
10000,44863
10000,24095
10000,23721
