const,param,runTime
20,100,891
20,100,898
20,100,876
20,100,831
20,100,849
20,100,539
20,100,506
20,100,1122
20,100,519
20,100,482
20,500,1202
20,500,987
20,500,1901
20,500,1451
20,500,1815
20,500,1025
20,500,1117
20,500,656
20,500,605
20,500,813
20,1000,2599
20,1000,2551
20,1000,3258
20,1000,2105
20,1000,2344
20,1000,2225
20,1000,2635
20,1000,3467
20,1000,2781
20,1000,2346
20,2000,5479
20,2000,4047
20,2000,4485
20,2000,6716
20,2000,4107
20,2000,3992
20,2000,6204
20,2000,4029
20,2000,3799
20,2000,5097
20,5000,9703
20,5000,13447
20,5000,12317
20,5000,12613
20,5000,10075
20,5000,10883
20,5000,13425
20,5000,10387
20,5000,9492
20,5000,11488
20,10000,20811
20,10000,23810
20,10000,27732
20,10000,23462
20,10000,21223
20,10000,27335
20,10000,24435
20,10000,23968
20,10000,25035
20,10000,22748
20,20000,44974
20,20000,43893
20,20000,45320
20,20000,43078
20,20000,53193
20,20000,45995
20,20000,42622
20,20000,46224
20,20000,44942
20,20000,44436
20,50000,116226
20,50000,112397
20,50000,111089
20,50000,110371
20,50000,113698
20,50000,125207
20,50000,110941
20,50000,113481
20,50000,108912
20,50000,123024
