const,param,runTime
20,100,904
20,100,910
20,100,1163
20,100,1128
20,100,899
20,100,899
20,100,901
20,100,900
20,100,783
20,100,893
20,500,1916
20,500,5126
20,500,2427
20,500,4510
20,500,2279
20,500,4551
20,500,4796
20,500,2054
20,500,4330
20,500,1897
20,1000,4686
20,1000,4266
20,1000,4505
20,1000,3772
20,1000,8929
20,1000,9948
20,1000,3819
20,1000,8644
20,1000,4234
20,1000,8728
20,2000,20409
20,2000,7734
20,2000,7964
20,2000,7467
20,2000,7909
20,2000,7438
20,2000,7665
20,2000,8442
20,2000,16735
20,2000,16791
20,5000,18868
20,5000,42096
20,5000,18455
20,5000,41832
20,5000,18528
20,5000,42054
20,5000,19161
20,5000,19320
20,5000,18664
20,5000,18569
20,10000,71192
20,10000,37008
20,10000,67303
20,10000,45469
20,10000,37093
20,10000,57819
20,10000,36868
20,10000,36984
20,10000,70127
20,10000,37098
20,20000,74213
20,20000,79826
20,20000,105943
20,20000,79686
20,20000,104887
20,20000,84033
20,20000,79973
20,20000,107699
20,20000,91750
20,20000,80404
20,50000,206244
20,50000,190280
20,50000,184808
20,50000,190638
20,50000,199527
20,50000,190326
20,50000,193336
20,50000,190457
20,50000,203309
20,50000,193963
