const,param,runTime
20,100,52
20,100,26
20,100,53
20,100,25
20,100,26
20,100,25
20,100,24
20,100,24
20,100,53
20,100,26
20,500,109
20,500,166
20,500,109
20,500,106
20,500,118
20,500,110
20,500,107
20,500,111
20,500,106
20,500,135
20,1000,216
20,1000,211
20,1000,213
20,1000,208
20,1000,217
20,1000,207
20,1000,245
20,1000,207
20,1000,214
20,1000,209
20,2000,417
20,2000,408
20,2000,687
20,2000,415
20,2000,417
20,2000,407
20,2000,916
20,2000,410
20,2000,410
20,2000,506
20,5000,1021
20,5000,1327
20,5000,1037
20,5000,1072
20,5000,1026
20,5000,2115
20,5000,1010
20,5000,1052
20,5000,1183
20,5000,1910
20,10000,2457
20,10000,2034
20,10000,2032
20,10000,2047
20,10000,2049
20,10000,2180
20,10000,2009
20,10000,2058
20,10000,2050
20,10000,2026
20,20000,4171
20,20000,4052
20,20000,4265
20,20000,4074
20,20000,4257
20,20000,4084
20,20000,4140
20,20000,4273
20,20000,4072
20,20000,4177
20,50000,10777
20,50000,10246
20,50000,10385
20,50000,10240
20,50000,10113
20,50000,10359
20,50000,10340
20,50000,10125
20,50000,10219
20,50000,10397
