const,param,runTime
20,100,2
20,100,1
20,100,1
20,100,2
20,100,2
20,100,2
20,100,2
20,100,2
20,100,2
20,100,2
20,500,3
20,500,2
20,500,3
20,500,3
20,500,3
20,500,4
20,500,2
20,500,4
20,500,2
20,500,2
20,1000,3
20,1000,6
20,1000,3
20,1000,7
20,1000,3
20,1000,6
20,1000,4
20,1000,3
20,1000,4
20,1000,4
20,2000,6
20,2000,5
20,2000,6
20,2000,6
20,2000,6
20,2000,6
20,2000,5
20,2000,6
20,2000,5
20,2000,6
20,5000,12
20,5000,12
20,5000,12
20,5000,12
20,5000,11
20,5000,12
20,5000,12
20,5000,12
20,5000,12
20,5000,12
20,10000,22
20,10000,23
20,10000,23
20,10000,31
20,10000,26
20,10000,23
20,10000,26
20,10000,23
20,10000,23
20,10000,22
20,20000,44
20,20000,44
20,20000,44
20,20000,44
20,20000,44
20,20000,44
20,20000,45
20,20000,45
20,20000,44
20,20000,44
20,50000,109
20,50000,109
20,50000,109
20,50000,148
20,50000,162
20,50000,113
20,50000,109
20,50000,108
20,50000,111
20,50000,113
