const,param,runTime
20,100,3830
20,100,3548
20,100,2423
20,100,2642
20,100,2959
20,100,1865
20,100,2356
20,100,1949
20,100,2577
20,100,2459
20,500,6333
20,500,7523
20,500,6599
20,500,6575
20,500,6412
20,500,6156
20,500,8000
20,500,7387
20,500,6838
20,500,6167
20,1000,12219
20,1000,13626
20,1000,13210
20,1000,12753
20,1000,12374
20,1000,11679
20,1000,12515
20,1000,13008
20,1000,12585
20,1000,12753
20,2000,23729
20,2000,23884
20,2000,23905
20,2000,22098
20,2000,24213
20,2000,24327
20,2000,22762
20,2000,22919
20,2000,22660
20,2000,24665
20,5000,59045
20,5000,55761
20,5000,106515
20,5000,56545
20,5000,56310
20,5000,60737
20,5000,59659
20,5000,59319
20,5000,66005
20,5000,56958
20,10000,125922
20,10000,135695
20,10000,120166
20,10000,130378
20,10000,142261
20,10000,146168
20,10000,132595
20,10000,141518
20,10000,126180
20,10000,111960
20,20000,368424
20,20000,348726
20,20000,337366
20,20000,334521
20,20000,314896
20,20000,356650
20,20000,322941
20,20000,376190
20,20000,343367
20,20000,337810
20,50000,882576
20,50000,819306
20,50000,965515
20,50000,936769
20,50000,986419
20,50000,965985
20,50000,902631
20,50000,920943
20,50000,997531
20,50000,889667
