param,runTime
1,2
1,2
1,2
1,1
1,1
1,2
1,1
1,2
1,2
1,1
5,38
5,36
5,36
5,27
5,37
5,34
5,36
5,34
5,18
5,35
10,268
10,558
10,267
10,327
10,569
10,309
10,438
10,296
10,284
10,308
15,3137
15,3227
15,4110
15,2872
15,3494
15,3695
15,4032
15,2758
15,3267
15,6380
20,42353
20,44639
20,41467
20,41688
20,64996
20,65781
20,66384
20,42708
20,41370
20,41855
25,454337
25,430355
25,442316
25,454209
25,433163
25,435092
25,452896
25,453819
25,432737
25,454689
