param,runTime
5,2197
5,2118
5,1941
5,2111
5,1846
5,1860
5,1962
5,2068
5,1808
5,1940
10,5712
10,2001
10,5034
10,2032
10,4927
10,1997
10,4847
10,4941
10,4616
10,5163
20,9960
20,10459
20,4870
20,10602
20,9010
20,10164
20,9892
20,4018
20,10422
20,4042
50,27096
50,10026
50,22322
50,27348
50,28117
50,10094
50,29774
50,30067
50,30221
50,29747
100,52575
100,20212
100,19757
100,53222
100,19899
100,19916
100,51504
100,20138
100,20569
100,20831
200,41416
200,39717
200,40189
200,70899
200,39909
200,39746
200,40040
200,39792
200,39507
200,40384
500,131208
500,132026
500,99680
500,131957
500,130739
500,130995
500,130794
500,131481
500,133114
500,98748
