param,runTime
5,14686
5,14208
5,15415
5,15925
5,13627
5,12661
5,16688
5,15125
5,11597
5,11539
10,26596
10,25349
10,22001
10,25633
10,27699
10,21827
10,23489
10,21643
10,25805
10,25274
20,47144
20,47352
20,41053
20,45895
20,45979
20,44537
20,48416
20,37706
20,38136
20,41540
50,118999
50,106829
50,100714
50,128982
50,101579
50,85877
50,124604
50,95991
50,161835
50,131524
100,248564
100,370027
100,352117
100,263248
100,365764
100,223772
100,286590
100,373092
100,329985
100,388843
200,806173
200,852053
200,806776
200,918961
200,876041
200,784342
200,862199
200,893497
200,830712
200,907082
500,2561653
500,2515914
500,2414552
500,2427021
500,2567387
500,2541500
500,2449017
500,2497239
500,2539573
500,2525000
